food_name,diet_tags,mood_tags,allergens,best_time_to_eat,description
Spinach and potato (Palak aloo),Vegetarian,Stressed,None,Snack,Spinach and potato (Palak aloo) is suitable for a vegetarian diet and supports neutral mood.
Mooli bhujia,"Vegan, Vegetarian",Stressed,None,Breakfast,Mooli bhujia is suitable for a general diet and supports neutral mood.
Bathua bhujia,"Vegan, Vegetarian",Stressed,None,Lunch,Bathua bhujia is suitable for a general diet and supports neutral mood.
Cabbage rolls (dry) ((Pattagobhi rolls) (dry)),"Vegan, Vegetarian",Craving,None,Dinner,Cabbage rolls (dry) ((Pattagobhi rolls) (dry)) is suitable for a general diet and supports neutral mood.
Cabbage rolls (curry) ((Pattagobhi rolls)(curry)),"Vegan, Vegetarian",Stressed,None,Dinner,Cabbage rolls (curry) ((Pattagobhi rolls)(curry)) is suitable for a general diet and supports neutral mood.
Dry arbi (Sookhi arbi),"Vegan, Vegetarian",Happy,None,Dinner,Dry arbi (Sookhi arbi) is suitable for a general diet and supports neutral mood.
Masala arbi,"Vegan, Vegetarian",Craving,None,Lunch,Masala arbi is suitable for a general diet and supports neutral mood.
Peas brinjal bhartha (Matar baingan bhartha),"Vegan, Vegetarian",Happy,None,Snack,Peas brinjal bhartha (Matar baingan bhartha) is suitable for a general diet and supports neutral mood.
Okra/Lady's fingers fry (Bhindi sabzi/sabji/subji),Vegan,Stressed,None,"Lunch, Dinner",Okra/Lady's fingers fry (Bhindi sabzi/sabji/subji) is suitable for a vegan diet and supports neutral mood.
Crispy okra/Crispy lady's fingers (Karare bhindi),"Vegan, Vegetarian",Craving,None,Snack,Crispy okra/Crispy lady's fingers (Karare bhindi) is suitable for a general diet and supports neutral mood.
Beans foogath,"Vegan, Vegetarian",Happy,None,Breakfast,Beans foogath is suitable for a general diet and supports neutral mood.
Stuffed bittergourd (wet) (Bharwa karele),"Vegan, Vegetarian",Depressed Mood,None,Dinner,Stuffed bittergourd (wet) (Bharwa karele) is suitable for a general diet and supports neutral mood.
Jackfruit/Kathal (dry),Vegan,Depressed Mood,None,Breakfast,Jackfruit/Kathal (dry) is suitable for a vegan diet and supports depressed mood.
Yam fried (Zimikand/Suran fried),"Vegan, Vegetarian",Craving,None,Snack,Yam fried (Zimikand/Suran fried) is suitable for a general diet and supports neutral mood.
"Cauliflower, pea and potato bhujia (Phoolgobhi, matar aur aloo bhujia)",Vegetarian,Craving,None,Dinner,"Cauliflower, pea and potato bhujia (Phoolgobhi, matar aur aloo bhujia) is suitable for a vegetarian diet and supports neutral mood."
Vegetable jalfrezi,Vegan,Balanced Mood,None,Lunch,Vegetable jalfrezi is suitable for a vegan diet and supports balanced mood.
Vegetables stir fry ,Vegan,Balanced Mood,None,Dinner,Vegetables stir fry  is suitable for a vegan diet and supports balanced mood.
Broccoli delight,"Vegan, Vegetarian",Craving,None,Lunch,Broccoli delight is suitable for a general diet and supports neutral mood.
Dhansak (vegetarian),Vegetarian,Happy,None,Lunch,Dhansak (vegetarian) is suitable for a general diet and supports neutral mood.
Cauliflower basket,"Vegan, Vegetarian",Depressed Mood,None,Lunch,Cauliflower basket is suitable for a general diet and supports neutral mood.
Stuffed bottle gourd (Stuffed ghiya/lauki),"Vegan, Vegetarian",Craving,None,Lunch,Stuffed bottle gourd (Stuffed ghiya/lauki) is suitable for a general diet and supports neutral mood.
Ducheese potato,Vegetarian,Happy,Lactose / Dairy,Breakfast,Ducheese potato is suitable for a vegetarian diet and supports neutral mood.
Roast potatoes ,"Vegan, Vegetarian",Energetic & Calm,None,Lunch,Roast potatoes  is suitable for a general diet and supports neutral mood.
Stuffed baked potatoes ,"Vegan, Vegetarian",Craving,None,Dinner,Stuffed baked potatoes  is suitable for a general diet and supports neutral mood.
Potato nests,"Vegan, Vegetarian",Depressed Mood,None,Dinner,Potato nests is suitable for a general diet and supports neutral mood.
Parsley potato,"Vegan, Vegetarian",Stressed,None,Dinner,Parsley potato is suitable for a general diet and supports neutral mood.
Creamed spinach and mushroom,"Keto, Vegan, Vegetarian",Depressed Mood,None,Dinner,Creamed spinach and mushroom is suitable for a general diet and supports neutral mood.
Fricassee of Mushroom,"Vegan, Vegetarian",Depressed Mood,None,Lunch,Fricassee of Mushroom is suitable for a general diet and supports neutral mood.
Cauliflower au gratin,"Vegan, Vegetarian",Stressed,None,Lunch,Cauliflower au gratin is suitable for a general diet and supports neutral mood.
Vegetable and cheese pie,"Vegan, Vegetarian",Balanced Mood,Lactose / Dairy,Snack,"Vegetable and cheese pie is suitable for a vegan, vegetarian diet and supports balanced mood."
Spinach souffle ,"Vegan, Vegetarian",Energetic & Calm,None,Breakfast,Spinach souffle  is suitable for a general diet and supports neutral mood.
Beetroot and egg salad (Chukandar aur ande ka salad),Keto,Craving,Eggs,Lunch,Beetroot and egg salad (Chukandar aur ande ka salad) is suitable for a keto diet and supports neutral mood.
Sour cream potato salad,"Keto, Vegan, Vegetarian",Depressed Mood,None,Dinner,Sour cream potato salad is suitable for a general diet and supports neutral mood.
Tossed green salad,"Vegan, Vegetarian",Stressed,None,Snack,Tossed green salad is suitable for a general diet and supports neutral mood.
Spring basket salad,"Vegan, Vegetarian",Depressed Mood,None,Snack,Spring basket salad is suitable for a general diet and supports neutral mood.
Cucumber and yogurt salad (Kheere aur dahi ka salad),Vegetarian,"Happy, Depressed Mood",None,Breakfast,"Cucumber and yogurt salad (Kheere aur dahi ka salad) is suitable for a general diet and supports happy, depressed mood."
Chicken and tomato towers,Keto,Depressed Mood,None,Lunch,Chicken and tomato towers is suitable for a keto diet and supports neutral mood.
Jellied sunshine fruit salad,Vegan,Depressed Mood,None,Breakfast,Jellied sunshine fruit salad is suitable for a vegan diet and supports depressed mood.
Tomato aspic,"Vegan, Vegetarian",Craving,None,Lunch,Tomato aspic is suitable for a general diet and supports neutral mood.
Frozen frosty fruit salad (Phalon ka salaad),Vegan,Depressed Mood,None,Lunch,Frozen frosty fruit salad (Phalon ka salaad) is suitable for a vegan diet and supports depressed mood.
French dressing,"Vegan, Vegetarian",Craving,None,Breakfast,French dressing is suitable for a general diet and supports neutral mood.
Mayonnaise without eggs,Keto,Craving,Eggs,Snack,Mayonnaise without eggs is suitable for a keto diet and supports neutral mood.
Curd dressing ,Vegetarian,Depressed Mood,Lactose / Dairy,Dinner,Curd dressing  is suitable for a vegetarian diet and supports depressed mood.
Carrot raita (Gajar ka raita),"Vegan, Vegetarian",Depressed Mood,None,Lunch,Carrot raita (Gajar ka raita) is suitable for a general diet and supports neutral mood.
Pumpkin raita (Kaddu ka raita),"Vegan, Vegetarian",Depressed Mood,None,Breakfast,Pumpkin raita (Kaddu ka raita) is suitable for a general diet and supports neutral mood.
Mint and peanut raita (Pudinay aur moongfali ka raita),"Vegan, Vegetarian",Craving,Nuts,Breakfast,Mint and peanut raita (Pudinay aur moongfali ka raita) is suitable for a general diet and supports neutral mood.
Spinach raita (Palak ka raita),"Vegan, Vegetarian",Energetic & Calm,None,Snack,Spinach raita (Palak ka raita) is suitable for a general diet and supports neutral mood.
Bathua raita,"Vegan, Vegetarian",Energetic & Calm,None,Dinner,Bathua raita is suitable for a general diet and supports neutral mood.
Pineapple raita (Ananas ka raita),"Vegan, Vegetarian",Happy,None,Dinner,Pineapple raita (Ananas ka raita) is suitable for a general diet and supports neutral mood.
Banana raita (Kele ka raita),"Vegan, Vegetarian",Tired & Anxious,None,Breakfast,Banana raita (Kele ka raita) is suitable for a general diet and supports tired & anxious.
Mango raita (Aam ka raita),"Vegan, Vegetarian",Depressed Mood,None,Lunch,Mango raita (Aam ka raita) is suitable for a general diet and supports depressed mood.
Guava raita (Amarood ka raita),"Vegan, Vegetarian",Depressed Mood,None,Breakfast,Guava raita (Amarood ka raita) is suitable for a general diet and supports neutral mood.
Grapes raita (Angoor ka raita),"Vegan, Vegetarian",Energetic & Calm,None,Dinner,Grapes raita (Angoor ka raita) is suitable for a general diet and supports neutral mood.
Bottle gourd kheer (Ghiya/Lauki kheer),"Vegan, Vegetarian",Happy,None,Snack,Bottle gourd kheer (Ghiya/Lauki kheer) is suitable for a general diet and supports happy.
Pumpkin kheer (Kaddu ki kheer),"Vegan, Vegetarian",Happy,None,Lunch,Pumpkin kheer (Kaddu ki kheer) is suitable for a general diet and supports happy.
Apple kheer (Seb ki kheer),"Vegan, Vegetarian",Happy,None,Dinner,Apple kheer (Seb ki kheer) is suitable for a general diet and supports happy.
Caramel custard (baked),"Vegan, Vegetarian",Craving,None,Dinner,Caramel custard (baked) is suitable for a general diet and supports neutral mood.
Vanilla ice cream without egg,Keto,Happy,Eggs,Snack,Vanilla ice cream without egg is suitable for a keto diet and supports happy.
Vanilla ice cream with egg,Keto,Happy,Eggs,Snack,Vanilla ice cream with egg is suitable for a keto diet and supports happy.
Strawberry ice cream,Raw Food,Happy,None,Snack,Strawberry ice cream is suitable for a general diet and supports happy.
Chocochip ice cream,"Keto, Vegan, Vegetarian",Happy,None,Snack,Chocochip ice cream is suitable for a general diet and supports happy.
Choconut ice cream,"Keto, Vegan, Vegetarian",Happy,None,Snack,Choconut ice cream is suitable for a general diet and supports happy.
Pear chocholate sunday,"Vegan, Vegetarian",Happy,None,Lunch,Pear chocholate sunday is suitable for a general diet and supports neutral mood.
Chocolate sauce,"Vegan, Vegetarian",Craving,None,Lunch,Chocolate sauce is suitable for a general diet and supports neutral mood.
Coffee ice cream,"Keto, Vegan, Vegetarian","Happy, Energetic & Calm",None,"Breakfast, Snack","Coffee ice cream is suitable for a general diet and supports happy, energetic & calm."
Coffee pear alaska,"Vegan, Vegetarian",Energetic & Calm,None,Breakfast,Coffee pear alaska is suitable for a general diet and supports energetic & calm.
Crunchy butterscotch,Keto,Energetic & Calm,Lactose / Dairy,Lunch,Crunchy butterscotch is suitable for a keto diet and supports neutral mood.
Peach melba ice cream,"Keto, Vegan, Vegetarian",Happy,None,Snack,Peach melba ice cream is suitable for a general diet and supports happy.
Vanilla ice cream with apples in hot cherry sauce,"Keto, Vegan, Vegetarian",Happy,None,Snack,Vanilla ice cream with apples in hot cherry sauce is suitable for a general diet and supports happy.
Grape and orange whip,"Vegan, Vegetarian",Depressed Mood,None,Lunch,Grape and orange whip is suitable for a general diet and supports neutral mood.
Honey banana cream,"Keto, Vegan, Vegetarian",Tired & Anxious,None,Lunch,Honey banana cream is suitable for a general diet and supports tired & anxious.
Raspberry bavarian cream,"Keto, Vegan, Vegetarian",Depressed Mood,None,Lunch,Raspberry bavarian cream is suitable for a general diet and supports neutral mood.
Fruit delight,Vegan,Depressed Mood,None,Breakfast,Fruit delight is suitable for a vegan diet and supports depressed mood.
Creamy chocolate mousse,"Keto, Vegan, Vegetarian",Depressed Mood,None,Breakfast,Creamy chocolate mousse is suitable for a general diet and supports neutral mood.
Cold lemon souffle,"Vegan, Vegetarian",Happy,None,Lunch,Cold lemon souffle is suitable for a general diet and supports neutral mood.
Cold orange souffle,"Vegan, Vegetarian",Craving,None,Snack,Cold orange souffle is suitable for a general diet and supports neutral mood.
Cold pineapple souffle,"Vegan, Vegetarian",Happy,None,Lunch,Cold pineapple souffle is suitable for a general diet and supports neutral mood.
Cold vanilla souffle,"Vegan, Vegetarian",Craving,None,Lunch,Cold vanilla souffle is suitable for a general diet and supports neutral mood.
Cold chocolate souffle,"Vegan, Vegetarian",Energetic & Calm,None,Breakfast,Cold chocolate souffle is suitable for a general diet and supports neutral mood.
Stewed fruit (with pear),Vegan,Depressed Mood,None,Snack,Stewed fruit (with pear) is suitable for a vegan diet and supports depressed mood.
Apricot fool,"Vegan, Vegetarian",Energetic & Calm,None,Dinner,Apricot fool is suitable for a general diet and supports neutral mood.
Pavlova,"Vegan, Vegetarian",Craving,None,Dinner,Pavlova is suitable for a general diet and supports neutral mood.
Apple crumb pudding,"Vegan, Vegetarian",Craving,None,Lunch,Apple crumb pudding is suitable for a general diet and supports neutral mood.
Steamed cake with chocolate sauce,"Vegan, Vegetarian",Energetic & Calm,None,Breakfast,Steamed cake with chocolate sauce is suitable for a general diet and supports energetic & calm.
Hot lemon souffle,"Vegan, Vegetarian",Stressed,None,Dinner,Hot lemon souffle is suitable for a general diet and supports neutral mood.
Gulab jamun with milk powder,Vegetarian,Happy,Lactose / Dairy,Snack,Gulab jamun with milk powder is suitable for a vegetarian diet and supports happy.
Chum chum,"Vegan, Vegetarian",Depressed Mood,None,Dinner,Chum chum is suitable for a general diet and supports neutral mood.
Dil bahar,"Vegan, Vegetarian",Happy,None,Snack,Dil bahar is suitable for a general diet and supports neutral mood.
Rasbhari,"Vegan, Vegetarian",Happy,None,Snack,Rasbhari is suitable for a general diet and supports neutral mood.
Rajbogh,"Vegan, Vegetarian",Depressed Mood,None,Breakfast,Rajbogh is suitable for a general diet and supports neutral mood.
Rasgulla,"Vegan, Vegetarian",Happy,None,Breakfast,Rasgulla is suitable for a general diet and supports neutral mood.
Rasmalai,"Vegan, Vegetarian",Energetic & Calm,None,Snack,Rasmalai is suitable for a general diet and supports neutral mood.
Khoa coconut burfi,"Vegan, Vegetarian",Stressed,None,Dinner,Khoa coconut burfi is suitable for a general diet and supports neutral mood.
Danedar burfi,"Vegan, Vegetarian",Stressed,None,Dinner,Danedar burfi is suitable for a general diet and supports neutral mood.
Semolina burfi (Suji/Rava burfi),"Vegan, Vegetarian",Happy,None,Lunch,Semolina burfi (Suji/Rava burfi) is suitable for a general diet and supports neutral mood.
Pumpkin coconut burfi (Kaddu aur nariyal ki burfi),"Vegan, Vegetarian",Stressed,None,Snack,Pumpkin coconut burfi (Kaddu aur nariyal ki burfi) is suitable for a general diet and supports neutral mood.
Khoa ladoo,"Vegan, Vegetarian",Happy,Nuts,Snack,Khoa ladoo is suitable for a general diet and supports happy.
Wheat and gram flour ladoo (Atta besan ladoo),"Vegan, Vegetarian",Happy,"Gluten, Nuts",Snack,Wheat and gram flour ladoo (Atta besan ladoo) is suitable for a general diet and supports happy.
Semolina ladoo with nuts (Suji/Rava ladoo with nuts),Mediterranean,Happy,Nuts,Snack,Semolina ladoo with nuts (Suji/Rava ladoo with nuts) is suitable for a general diet and supports happy.
Sesame chickpeas brittle (Til aur channe ki chikki),"Vegan, Vegetarian",Happy,None,Snack,Sesame chickpeas brittle (Til aur channe ki chikki) is suitable for a general diet and supports neutral mood.
Murmura chikki,"Vegan, Vegetarian",Depressed Mood,None,Breakfast,Murmura chikki is suitable for a general diet and supports neutral mood.
Masala onion pakora/pakoda (Pyaaz ke pakode),"Vegan, Vegetarian",Energetic & Calm,None,Snack,Masala onion pakora/pakoda (Pyaaz ke pakode) is suitable for a general diet and supports neutral mood.
Masala green chilli pakora/pakoda (Hari mirch kay pakode),"Vegan, Vegetarian",Depressed Mood,None,Snack,Masala green chilli pakora/pakoda (Hari mirch kay pakode) is suitable for a general diet and supports neutral mood.
Chicken pakora/pakoda,Keto,Energetic & Calm,None,Snack,Chicken pakora/pakoda is suitable for a keto diet and supports neutral mood.
Fish pakora/pakoda,"Keto, Mediterranean, Pescatarian",Happy,Seafood / Shellfish,Snack,"Fish pakora/pakoda is suitable for a keto, pescatarian diet and supports neutral mood."
Paneer cutlet,"Keto, Vegetarian",Happy,Lactose / Dairy,Breakfast,"Paneer cutlet is suitable for a keto, vegetarian diet and supports neutral mood."
Sago cutlet/vadas (Sabudana cutlet/vadas),"Vegan, Vegetarian",Stressed,None,Dinner,Sago cutlet/vadas (Sabudana cutlet/vadas) is suitable for a general diet and supports neutral mood.
Poshtik cutlet,"Vegan, Vegetarian",Craving,None,Snack,Poshtik cutlet is suitable for a general diet and supports neutral mood.
Egg cutlet (Anda cutlet),Keto,Depressed Mood,Eggs,Snack,Egg cutlet (Anda cutlet) is suitable for a keto diet and supports neutral mood.
Minced meat cutlet,Paleo,Depressed Mood,None,Snack,Minced meat cutlet is suitable for a general diet and supports neutral mood.
Vegetable samosa,Vegan,Balanced Mood,None,Snack,Vegetable samosa is suitable for a vegan diet and supports balanced mood.
Plain urad dal vada (Uzunne vada/Minapa garelu/Ulundu vadai/Medu vada),"Vegan, Vegetarian",Balanced Mood,None,"Lunch, Dinner","Plain urad dal vada (Uzunne vada/Minapa garelu/Ulundu vadai/Medu vada) is suitable for a vegan, vegetarian diet and supports balanced mood."
Masala urad dal vada,"Vegan, Vegetarian",Balanced Mood,None,"Lunch, Dinner","Masala urad dal vada is suitable for a vegan, vegetarian diet and supports balanced mood."
Khaman (dhokla),"Vegan, Vegetarian",Energetic & Calm,None,Dinner,Khaman (dhokla) is suitable for a general diet and supports neutral mood.
Instant dhokla,"Vegan, Vegetarian",Depressed Mood,None,Dinner,Instant dhokla is suitable for a general diet and supports neutral mood.
Tomato ginger chutney (Tamatar adarak ki chutney),Anti-Inflammatory,Depressed Mood,None,Dinner,Tomato ginger chutney (Tamatar adarak ki chutney) is suitable for a general diet and supports neutral mood.
Mint tomato chutney (Pudinay aur tamatar ki chutney),"Vegan, Vegetarian",Energetic & Calm,None,Dinner,Mint tomato chutney (Pudinay aur tamatar ki chutney) is suitable for a general diet and supports neutral mood.
Coriander chutney (Hare dhaniye ki chutney),"Vegan, Vegetarian",Craving,None,Breakfast,Coriander chutney (Hare dhaniye ki chutney) is suitable for a general diet and supports neutral mood.
Gooseberry chutney (Amla chutney),"Vegan, Vegetarian",Depressed Mood,None,Dinner,Gooseberry chutney (Amla chutney) is suitable for a general diet and supports neutral mood.
Walnut chutney (Akhrot ki chutney),"Vegan, Vegetarian",Stressed,None,Snack,Walnut chutney (Akhrot ki chutney) is suitable for a general diet and supports neutral mood.
Saunth/Sonth chutney with ginger,Anti-Inflammatory,Stressed,None,Dinner,Saunth/Sonth chutney with ginger is suitable for a general diet and supports neutral mood.
Gun powder chutney,"Vegan, Vegetarian",Stressed,None,Lunch,Gun powder chutney is suitable for a general diet and supports neutral mood.
Dessicated coconut chutney (Sookhe kase nariyal ki chutney) ,"Vegan, Vegetarian",Craving,None,Snack,Dessicated coconut chutney (Sookhe kase nariyal ki chutney)  is suitable for a general diet and supports neutral mood.
Curd mint dip ,Vegetarian,Depressed Mood,Lactose / Dairy,Dinner,Curd mint dip  is suitable for a vegetarian diet and supports depressed mood.
Curd vegetable dip,"Vegan, Vegetarian","Depressed Mood, Balanced Mood",Lactose / Dairy,Breakfast,"Curd vegetable dip is suitable for a vegan, vegetarian diet and supports depressed mood, balanced mood."
Mayonnaise vegetable dip,Vegan,Balanced Mood,None,Breakfast,Mayonnaise vegetable dip is suitable for a vegan diet and supports balanced mood.
Tomato and cucumber sandwich (Tamatar aur kheere ka sandwich),"Vegan, Vegetarian",Happy,None,Dinner,Tomato and cucumber sandwich (Tamatar aur kheere ka sandwich) is suitable for a general diet and supports happy.
Tomato sandwich (grilled),"Mediterranean, Vegan, Vegetarian",Craving,None,Lunch,Tomato sandwich (grilled) is suitable for a general diet and supports neutral mood.
French sandwich (toasted),"Vegan, Vegetarian",Craving,None,Dinner,French sandwich (toasted) is suitable for a general diet and supports neutral mood.
Peanut butter cucumber sandwich,Keto,Depressed Mood,"Lactose / Dairy, Nuts",Breakfast,Peanut butter cucumber sandwich is suitable for a keto diet and supports neutral mood.
Mint and peanut sandwich,"Vegan, Vegetarian",Stressed,Nuts,Dinner,Mint and peanut sandwich is suitable for a general diet and supports neutral mood.
Spicy chutney sandwich,"Vegan, Vegetarian",Happy,None,Breakfast,Spicy chutney sandwich is suitable for a general diet and supports neutral mood.
Chicken walnut sandwich (Chicken aur akhrot ke sandwich),Keto,Depressed Mood,None,Dinner,Chicken walnut sandwich (Chicken aur akhrot ke sandwich) is suitable for a keto diet and supports neutral mood.
Rolled sandwich,"Vegan, Vegetarian",Depressed Mood,None,Snack,Rolled sandwich is suitable for a general diet and supports neutral mood.
Ribbon sandwich,"Vegan, Vegetarian",Energetic & Calm,None,Snack,Ribbon sandwich is suitable for a general diet and supports neutral mood.
Checker board sandwich,"Vegan, Vegetarian",Happy,None,Breakfast,Checker board sandwich is suitable for a general diet and supports neutral mood.
Submarine sandwich,"Vegan, Vegetarian",Craving,None,Breakfast,Submarine sandwich is suitable for a general diet and supports neutral mood.
Cheese open sandwich,Vegetarian,Stressed,Lactose / Dairy,Breakfast,Cheese open sandwich is suitable for a vegetarian diet and supports neutral mood.
Sunset and sunrise open sandwich,"Vegan, Vegetarian",Depressed Mood,None,Breakfast,Sunset and sunrise open sandwich is suitable for a general diet and supports neutral mood.
Danish luncheon sandwich,"Vegan, Vegetarian",Energetic & Calm,None,Lunch,Danish luncheon sandwich is suitable for a general diet and supports neutral mood.
Chicken and corn open sandwich,Keto,Craving,None,Lunch,Chicken and corn open sandwich is suitable for a keto diet and supports neutral mood.
Chocolate sponge cake,"Vegan, Vegetarian",Happy,None,Lunch,Chocolate sponge cake is suitable for a general diet and supports neutral mood.
Chocolate swiss roll,"Vegan, Vegetarian",Craving,None,Lunch,Chocolate swiss roll is suitable for a general diet and supports neutral mood.
Lemon curd filling,Vegetarian,Depressed Mood,Lactose / Dairy,Breakfast,Lemon curd filling is suitable for a vegetarian diet and supports depressed mood.
Jam filling,"Vegan, Vegetarian",Happy,None,Lunch,Jam filling is suitable for a general diet and supports neutral mood.
Chocolate pastry,"Vegan, Vegetarian",Stressed,None,Breakfast,Chocolate pastry is suitable for a general diet and supports neutral mood.
Assorted pastry,"Vegan, Vegetarian",Stressed,None,Snack,Assorted pastry is suitable for a general diet and supports neutral mood.
Orange gateau,"Vegan, Vegetarian",Energetic & Calm,None,Breakfast,Orange gateau is suitable for a general diet and supports energetic & calm.
Black forest gateau,"Vegan, Vegetarian",Energetic & Calm,None,Breakfast,Black forest gateau is suitable for a general diet and supports energetic & calm.
Lemon cake,"Vegan, Vegetarian",Craving,None,Breakfast,Lemon cake is suitable for a general diet and supports neutral mood.
Dundee cake,"Vegan, Vegetarian",Happy,None,Snack,Dundee cake is suitable for a general diet and supports neutral mood.
Victorian sandwich cake,"Vegan, Vegetarian",Energetic & Calm,None,Breakfast,Victorian sandwich cake is suitable for a general diet and supports neutral mood.
Chocolate eggless cake,Keto,Craving,Eggs,Breakfast,Chocolate eggless cake is suitable for a keto diet and supports neutral mood.
Orange eggless cake,Keto,Craving,Eggs,Lunch,Orange eggless cake is suitable for a keto diet and supports neutral mood.
Chocolate glace icing,"Vegan, Vegetarian",Happy,None,Dinner,Chocolate glace icing is suitable for a general diet and supports neutral mood.
Butter icing,Keto,Happy,Lactose / Dairy,Breakfast,Butter icing is suitable for a keto diet and supports neutral mood.
Chocolate butter icing,Keto,Craving,Lactose / Dairy,Lunch,Chocolate butter icing is suitable for a keto diet and supports neutral mood.
Almond biscuit (Badam ke biscuit),Keto,Tired & Anxious,Nuts,Dinner,Almond biscuit (Badam ke biscuit) is suitable for a keto diet and supports tired & anxious.
Orange biscuit,"Vegan, Vegetarian",Depressed Mood,None,Lunch,Orange biscuit is suitable for a general diet and supports neutral mood.
Gingerman biscuit,Anti-Inflammatory,Stressed,None,Lunch,Gingerman biscuit is suitable for a general diet and supports neutral mood.
Coffee drops,"Vegan, Vegetarian",Energetic & Calm,None,Breakfast,Coffee drops is suitable for a general diet and supports energetic & calm.
Christmas biscuit,"Vegan, Vegetarian",Stressed,None,Dinner,Christmas biscuit is suitable for a general diet and supports neutral mood.
Christmas wreath biscuit,"Vegan, Vegetarian",Happy,None,Dinner,Christmas wreath biscuit is suitable for a general diet and supports neutral mood.
Christmas bell biscuit,"Vegan, Vegetarian",Energetic & Calm,None,Lunch,Christmas bell biscuit is suitable for a general diet and supports neutral mood.
Christmas star biscuit,"Vegan, Vegetarian",Craving,None,Snack,Christmas star biscuit is suitable for a general diet and supports neutral mood.
Christmas tree biscuit,"Vegan, Vegetarian",Happy,None,Dinner,Christmas tree biscuit is suitable for a general diet and supports neutral mood.
Chocolate cream shells,"Keto, Vegan, Vegetarian",Energetic & Calm,None,Snack,Chocolate cream shells is suitable for a general diet and supports neutral mood.
Jelly biscuit,"Vegan, Vegetarian",Stressed,None,Lunch,Jelly biscuit is suitable for a general diet and supports neutral mood.
Cherry and walnut cookies,"Vegan, Vegetarian",Craving,None,Dinner,Cherry and walnut cookies is suitable for a general diet and supports neutral mood.
Cheese straws,"Raw Food, Vegetarian",Craving,Lactose / Dairy,Dinner,Cheese straws is suitable for a vegetarian diet and supports neutral mood.
Butterfly biscuit,Keto,Stressed,Lactose / Dairy,Breakfast,Butterfly biscuit is suitable for a keto diet and supports neutral mood.
Flan pastry,"Vegan, Vegetarian",Craving,None,Dinner,Flan pastry is suitable for a general diet and supports neutral mood.
Fruit flan,Vegan,Depressed Mood,None,Snack,Fruit flan is suitable for a vegan diet and supports depressed mood.
Orange cream flan,"Keto, Vegan, Vegetarian",Energetic & Calm,None,Snack,Orange cream flan is suitable for a general diet and supports neutral mood.
Fruit puree tart,Vegan,Depressed Mood,None,Lunch,Fruit puree tart is suitable for a vegan diet and supports depressed mood.
Apple banana pie,"Vegan, Vegetarian",Tired & Anxious,None,Snack,Apple banana pie is suitable for a general diet and supports tired & anxious.
Lemon chiffon pie,"Vegan, Vegetarian",Depressed Mood,None,Breakfast,Lemon chiffon pie is suitable for a general diet and supports neutral mood.
Orange chiffon pie,"Vegan, Vegetarian",Happy,None,Breakfast,Orange chiffon pie is suitable for a general diet and supports neutral mood.
Cream buns,"Keto, Vegan, Vegetarian",Stressed,None,Snack,Cream buns is suitable for a general diet and supports neutral mood.
Savoury puffs,"Vegan, Vegetarian",Stressed,None,Dinner,Savoury puffs is suitable for a general diet and supports neutral mood.
Choux swans,"Vegan, Vegetarian",Craving,None,Snack,Choux swans is suitable for a general diet and supports neutral mood.
Potato aigrettes,"Vegan, Vegetarian",Depressed Mood,None,Lunch,Potato aigrettes is suitable for a general diet and supports neutral mood.
Cream horns,"Keto, Vegan, Vegetarian",Depressed Mood,None,Lunch,Cream horns is suitable for a general diet and supports neutral mood.
Savoury cheese horns,Vegetarian,Happy,Lactose / Dairy,Snack,Savoury cheese horns is suitable for a vegetarian diet and supports neutral mood.
Paneer patties,"Keto, Vegetarian",Stressed,Lactose / Dairy,Lunch,"Paneer patties is suitable for a keto, vegetarian diet and supports neutral mood."
Vegetable patties ,Vegan,Balanced Mood,None,Breakfast,Vegetable patties  is suitable for a vegan diet and supports balanced mood.
Pearl millet infant food (Bajra shishu aahaar),"Vegan, Vegetarian",Energetic & Calm,None,Snack,Pearl millet infant food (Bajra shishu aahaar) is suitable for a general diet and supports neutral mood.
Sajina,"Vegan, Vegetarian",Craving,None,Snack,Sajina is suitable for a general diet and supports neutral mood.
Cereal mix ,"Vegan, Vegetarian",Craving,None,Breakfast,Cereal mix  is suitable for a general diet and supports neutral mood.
Pulse mix,"Vegan, Vegetarian",Craving,None,Dinner,Pulse mix is suitable for a general diet and supports neutral mood.
Shishu ahar,"Vegan, Vegetarian",Happy,None,Dinner,Shishu ahar is suitable for a general diet and supports neutral mood.
Cereal pulse mix with amylase rice flour,Vegan,Balanced Mood,None,Lunch,Cereal pulse mix with amylase rice flour is suitable for a vegan diet and supports balanced mood.
Banana groundnut paste/puree,"Vegan, Vegetarian",Tired & Anxious,None,Dinner,Banana groundnut paste/puree is suitable for a general diet and supports tired & anxious.
Rice dal porridge (Chawal dal ki khichdi/khichri),"Vegan, Vegetarian","Balanced Mood, Energetic & Calm",None,"Lunch, Dinner","Rice dal porridge (Chawal dal ki khichdi/khichri) is suitable for a vegan, vegetarian diet and supports balanced mood, neutral mood."
Lentils and semolina porridge (Dal suji porridge/daliya),"Vegan, Vegetarian",Balanced Mood,None,"Lunch, Dinner","Lentils and semolina porridge (Dal suji porridge/daliya) is suitable for a vegan, vegetarian diet and supports balanced mood."
Spinach khichri (Palak khichri/khichdi),"Vegan, Vegetarian",Stressed,None,Lunch,Spinach khichri (Palak khichri/khichdi) is suitable for a general diet and supports neutral mood.
